fact,explanation,gen_time
"[2, 0, 11, 0, 30, 2, 0, 0, 2, 5, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 3, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 1, 30, 11, 3, 0, 14, 4, 30, 6, 4, 0, 10, 0, 30, 3, 11, 0, 14, 2, 30, 14, 0, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 319, 59]",76.49951004981995
"[2, 2, 25, 4, 30, 11, 0, 0, 11, 9, 30, 4, 0, 0, 4, 0, 30, 2, 9, 0, 11, 3, 30, 6, 5, 0, 11, 0, 30, 3, 2, 0, 5, 1, -3, 0, 1, 779]","[2, 3, 1, 1, 30, 8, 1, 0, 9, 7, 30, 4, 0, 0, 4, 0, 30, 0, 9, 0, 9, 0, 30, 4, 5, 0, 9, 0, 30, 2, 2, 0, 4, -3, 0, 1, 759, 59]",76.96366357803345
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[2, 2, 1, 1, 30, 6, 3, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 3, 6, 0, 9, 0, 30, 3, 6, 0, 9, 2, 30, 2, 0, 0, 2, 22, 0, 0, 39, 59]",80.71561336517334
"[2, 2, 39, 0, 30, 3, 10, 0, 13, 0, 30, 8, 0, 0, 8, 0, 30, 4, 9, 0, 13, 0, 30, 3, 10, 0, 13, 27, 30, 6, 0, 0, 6, 1, -3, 0, 1, 1199]","[2, 3, 1, 5, 30, 5, 4, 0, 9, 13, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 3, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, -3, 0, 1, 1179, 59]",81.12422752380371
"[2, 0, 25, 3, 30, 4, 0, 0, 4, 7, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 1, 3, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[2, 2, 1, 2, 30, 11, 3, 0, 14, 4, 30, 4, 0, 0, 4, 0, 30, 2, 12, 0, 14, 1, 30, 3, 11, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 739, 59]",76.95534873008728
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[2, 2, 1, 1, 30, 6, 3, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 3, 6, 0, 9, 5, 30, 4, 5, 0, 9, 2, 30, 2, 0, 0, 2, 22, 0, 0, 39, 59]",82.14267659187317
"[2, 4, 24, 4, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 1, 30, 5, 4, 0, 9, 1, 30, 2, 3, 0, 5, 1, -3, 0, 1, 739]","[2, 2, 1, 1, 30, 10, 7, 0, 17, 2, 30, 8, 0, 0, 8, 0, 30, 3, 14, 0, 17, 0, 30, 17, 0, 0, 17, 0, 30, 3, 3, 0, 6, -3, 0, 1, 719, 59]",75.08819723129272
"[2, 0, 29, 2, 30, 11, 1, 0, 12, 3, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 1, 30, 8, 4, 0, 12, 2, 30, 3, 1, 0, 4, 1, -3, 0, 1, 899]","[2, 2, 1, 1, 30, 7, 2, 0, 9, 4, 30, 2, 0, 0, 2, 0, 30, 4, 5, 0, 9, 1, 30, 6, 3, 0, 9, 0, 30, 0, 1, 0, 1, -3, 0, 1, 879, 59]",80.4501781463623
"[2, 1, 5, 7, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 2, 30, 6, 3, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[2, 2, 1, 1, 30, 8, 1, 0, 9, 0, 30, 6, 0, 0, 6, 0, 30, 0, 9, 0, 9, 0, 30, 3, 6, 0, 9, 0, 30, 2, 2, 0, 4, 22, 0, 0, 159, 59]",80.229012966156
"[2, 4, 7, 1, 30, 1, 2, 0, 3, 1, 30, 0, 0, 0, 0, 0, 30, 0, 3, 0, 3, 6, 30, 1, 2, 0, 3, 2, 30, 0, 0, 0, 0, 0, 22, 0, 0, 219]","[2, 2, 1, 1, 30, 11, 3, 0, 14, 0, 30, 6, 0, 0, 6, 0, 30, 3, 11, 0, 14, 1, 30, 11, 3, 0, 14, 0, 30, 1, 5, 0, 6, 22, 0, 0, 199, 59]",77.78540205955505
