fact,explanation,gen_time
"[2, 0, 11, 0, 30, 2, 0, 0, 2, 5, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 3, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 1, 30, 11, 3, 0, 14, 0, 30, 6, 4, 0, 10, 0, 30, 3, 11, 0, 14, 0, 30, 14, 0, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 319, 59]",37.60526990890503
"[2, 2, 25, 4, 30, 11, 0, 0, 11, 9, 30, 4, 0, 0, 4, 0, 30, 2, 9, 0, 11, 3, 30, 6, 5, 0, 11, 0, 30, 3, 2, 0, 5, 1, -3, 0, 1, 779]","[2, 3, 1, 1, 30, 16, 0, 0, 16, 11, 30, 6, 0, 0, 6, 0, 30, 2, 14, 0, 16, 0, 30, 9, 7, 0, 16, 0, 30, 3, 3, 0, 6, -3, 0, 1, 779, 59]",36.94780135154724
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[2, 2, 1, 1, 30, 6, 7, 0, 13, 0, 30, 6, 4, 0, 10, 0, 30, 0, 13, 0, 13, 7, 30, 13, 0, 0, 13, 0, 30, 4, 1, 0, 5, 22, 0, 0, 79, 59]",37.94499206542969
"[2, 2, 39, 0, 30, 3, 10, 0, 13, 0, 30, 8, 0, 0, 8, 0, 30, 4, 9, 0, 13, 0, 30, 3, 10, 0, 13, 27, 30, 6, 0, 0, 6, 1, -3, 0, 1, 1199]","[2, 2, 1, 1, 30, 4, 14, 0, 18, 2, 30, 10, 0, 0, 10, 0, 30, 4, 14, 0, 18, 2, 30, 7, 11, 0, 18, 3, 30, 7, 0, 0, 7, -3, 0, 1, 1199, 59]",38.69039535522461
"[2, 0, 25, 3, 30, 4, 0, 0, 4, 7, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 1, 3, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[2, 2, 1, 2, 30, 11, 3, 0, 14, 2, 30, 4, 0, 0, 4, 0, 30, 2, 12, 0, 14, 0, 30, 2, 12, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 739, 59]",37.905259132385254
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[2, 2, 1, 1, 30, 6, 7, 0, 13, 0, 30, 6, 4, 0, 10, 0, 30, 0, 13, 0, 13, 7, 30, 13, 0, 0, 13, 0, 30, 4, 1, 0, 5, 22, 0, 0, 79, 59]",37.87826371192932
"[2, 4, 24, 4, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 1, 30, 5, 4, 0, 9, 1, 30, 2, 3, 0, 5, 1, -3, 0, 1, 739]","[2, 2, 1, 1, 30, 10, 4, 0, 14, 2, 30, 4, 0, 0, 4, 0, 30, 1, 13, 0, 14, 0, 30, 6, 8, 0, 14, 0, 30, 2, 4, 0, 6, -3, 0, 1, 739, 59]",38.500741481781006
"[2, 0, 29, 2, 30, 11, 1, 0, 12, 3, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 1, 30, 8, 4, 0, 12, 2, 30, 3, 1, 0, 4, 1, -3, 0, 1, 899]","[2, 2, 1, 1, 30, 7, 2, 0, 9, 2, 30, 2, 0, 0, 2, 0, 30, 4, 5, 0, 9, 0, 30, 5, 4, 0, 9, 0, 30, 0, 1, 0, 1, -3, 0, 1, 879, 59]",37.54312062263489
"[2, 1, 5, 7, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 2, 30, 6, 3, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[2, 2, 1, 1, 30, 8, 1, 0, 9, 0, 30, 6, 0, 0, 6, 0, 30, 0, 9, 0, 9, 0, 30, 3, 6, 0, 9, 0, 30, 2, 2, 0, 4, 22, 0, 0, 159, 59]",37.58441781997681
"[2, 4, 7, 1, 30, 1, 2, 0, 3, 1, 30, 0, 0, 0, 0, 0, 30, 0, 3, 0, 3, 6, 30, 1, 2, 0, 3, 2, 30, 0, 0, 0, 0, 0, 22, 0, 0, 219]","[2, 2, 1, 1, 30, 3, 5, 0, 8, 0, 30, 2, 0, 0, 2, 0, 30, 0, 8, 0, 8, 3, 30, 6, 2, 0, 8, 0, 30, 0, 1, 0, 1, 22, 0, 0, 219, 59]",38.17448687553406
"[2, 2, 16, 3, 30, 3, 5, 0, 8, 0, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 12, 30, 8, 0, 0, 8, 2, 30, 3, 0, 0, 3, 1, -3, 0, 1, 499]","[2, 2, 1, 1, 30, 7, 6, 0, 13, 2, 30, 6, 0, 0, 6, 0, 30, 0, 13, 0, 13, 9, 30, 13, 0, 0, 13, 0, 30, 3, 1, 0, 4, -3, 0, 1, 499, 59]",38.6394100189209
"[2, 3, 27, 2, 30, 4, 0, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 2, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[2, 2, 1, 1, 30, 7, 2, 0, 9, 2, 30, 8, 0, 0, 8, 0, 30, 0, 9, 0, 9, 0, 30, 7, 2, 0, 9, 0, 30, 3, 1, 0, 4, -3, 0, 1, 819, 59]",37.57255148887634
"[2, 4, 23, 0, 30, 10, 2, 0, 12, 0, 30, 6, 0, 0, 6, 0, 30, 3, 9, 0, 12, 1, 30, 12, 0, 0, 12, 1, 30, 3, 2, 0, 5, 1, -3, 0, 1, 719]","[2, 2, 1, 1, 30, 11, 6, 0, 17, 2, 30, 8, 0, 0, 8, 0, 30, 3, 14, 0, 17, 0, 30, 13, 4, 0, 17, 0, 30, 3, 3, 0, 6, -3, 0, 1, 719, 59]",37.36053824424744
"[2, 1, 15, 4, 30, 8, 0, 0, 8, 3, 30, 2, 0, 0, 2, 0, 30, 3, 5, 0, 8, 9, 30, 8, 0, 0, 8, 1, 30, 2, 2, 0, 4, 1, -3, 0, 1, 479]","[2, 2, 1, 1, 30, 13, 0, 0, 13, 5, 30, 4, 0, 0, 4, 0, 30, 3, 10, 0, 13, 5, 30, 13, 0, 0, 13, 0, 30, 2, 3, 0, 5, -3, 0, 1, 479, 59]",38.305209159851074
"[2, 1, 3, 2, 30, 10, 5, 0, 15, 0, 30, 9, 1, 0, 10, 0, 30, 2, 13, 0, 15, 3, 30, 15, 0, 0, 15, 0, 30, 2, 7, 0, 9, 0, 22, 0, 0, 119]","[2, 2, 1, 1, 30, 13, 7, 0, 20, 2, 30, 11, 1, 0, 12, 0, 30, 2, 18, 0, 20, 0, 30, 18, 2, 0, 20, 0, 30, 2, 8, 0, 10, 22, 0, 0, 119, 59]",37.17065119743347
